!	I have a comment
*$	Starbucks
HOYEW	Hanging On Your Every Word
HP	Higher Power
HPOA	Hot Piece Of Ass
HPPO	Highest Paid Person in Office
HRCN	it means hurricane
HSIAB	Haven't Seen It All Before
HSIK	How Should I Know
HT	Hi There -or- Hat Tip
HTB	Hang The Bastards
HTH	Hope This (or That) Helps
HTNOTH	Hit The Nail On The Head
HU	Hook Up
HUA	Heads Up Ace -or- Head Up Ass -or- Heard, Understood, Acknowledged
HUD	How You Doing?
HUGZ	Hugs
huh	what
HUYA	Head Up Your Ass
HV	Have
HWGA	Here We Go Again
hx	it means history -or- hospital
I 1-D-R	I Wonder
I <3 I	I Love It
I <3 U	I Love You
i h8 it	i hate it
I&I	Intercourse & Inebriation
I-D-L	Ideal
IAC	In Any Case -or- I Am Confused -or- If Anyone Cares
IAE	In Any Event
IAGTKOM	I Ain't Got That Kind Of Money
IAITS	It's All In The Subject
IANAC	I Am Not A Crook
IANADBIPOOTV	I Am Not A Doctor But I Play One On TV
IANAE	I Am Not An Expert
IANAL	I Am Not A Lawyer
IANNNGC	I Am Not Nurturing the Next Generation of Casualties
IASAP4U	I Always Say A Prayer For You
IAT	I Am Tired
IAW	I Agree With -or- In Accordance With
IAYM	I Am Your Master
IBGYBG	I'll Be Gone, You'll Be Gone
IBIWISI	I'll Believe It When I See It
IBK	Idiot Behind Keyboard
IBRB	I'll Be Right Back
IBT	In Between Technology
IBTC	Itty Bitty Titty Committee
IBTD	I Beg To Differ
IBTL	In Before The Lock
IC	Independant Contractor -or- In Character -or- I See
ICBW	I Could Be Wrong
ICBWICBM	It Could Be Worse, It Could Be Me
ICCL	I Couldn't Care Less
ICIHICPCL	I Can't Imagine How I Could Possibly Care Less
ICW	I Can't Wait
ICWUM	I See What You Mean
ICYC	In Case You're Curious -or- In Case You Care
ICYMI	In Case You Missed It
ID	IDentification
ID10T	Idiot
IDC	I Don't Care
IDGAD	I Don't Give A Damn
IDGAF	I Don't Give A F***
IDGARA	I Don't Give A Rats Ass
IDGI	I Don't Get It -or- I Don't Get Involved
IDIFTL	I Did It For The Lulz
IDK	I Don't Know
IDK, my BFF Jill	I Don't Know, my Best Friend Forever Jill
IDKABTT	I Don't Know About That
IDKY	I Don't Know You
IDM	It Doesn't Matter
IDRK	I Don't Really Know
IDST	I Didn't Say That
IDTA	I Did That Already
IDTBBF	I Deserve To Be Blown First
IDTS	I Don't Think So
IDWTUB	I Don't Want To Upset You But
IEF	It's Esther's Fault
IF/IB	In the Front -or- In the Back
IFAB	I Found A Bug
IFH8TABX	I F***ing Hate This Acronym Bollocks
IFU	I F***ed Up
IGGP	I Gotta Go Pee
IGTP	I Get The Point
IGWS	It Goes Without Saying
IGWST	It Goes Without Saying That
IGYHTBT	I Guess You Had To Be There
IHA	I Hate Acronyms
IHAIM	I Have Another Instant Message
IHNC	I Have No Clue
IHNO	I Have No Opinion
IHTFP	I Have Truly Found Paradise -or- I Hate This F***ing Place
IHU	I Hear You
IHY	I Heart You -or- I Hate You
IIABDFI	If It Ain't Broke, Don't Fix It
IIIO	Intel Inside, Idiot Outside
IIMAD	If It Makes Any Difference
IINM	If I'm Not Mistaken
IIR	If I Remember -or- If I Recall
IIRC	If I Remember Correctly -or- If I Recall Correctly
IIT	Is It Tight?
IITLYTO	If It's Too Loud You're Too Old
IITM	It's In The Mail
IITYWIMWYBMAD	If I Tell You What It Means Will You Buy Me A Drink
IITYWYBMAD	If I Tell You Will You Buy Me A Drink
IIWII	It Is What It Is
IIWM	If It Were Me
IJ	Inside Joke
IJPMP	I Just Pissed My Pants
IJS	I'm Just Saying...
IJWTK	I Just Want To Know
IJWTS	I Just Want To Say
IKALOPLT	I Know A Lot Of People Like That
IKR	I Know, Right?
IKWYM	I Know What You Mean
IKYABWAI	I Know You Are But What Am I?
ILA	I Love Acronyms
ILF/MD	I Love Female/Male Dominance
ILI	I Love It
ILICISCOMK	I Laughed, I Cried, I Spat/Spilt Coffee/Crumbs/Coke On My Keyboard
ILMJ	I Love My Job
ILU	I Love You
ILUAAF	I Love You As A Friend
ILY	I Love You
ILY2	I Like/Love You Too
IM	Instant Messaging -or- Immediate Message
IM2BZ2P	I aM Too Busy To (even) Pee
IMA	I Might Add
IMAO	In My Arrogant Opinion
IMCO	In My Considered Opinion
IME	In My Experience
IMEZRU	I Am Easy, Are You?
IMFAO	In My F***ing Arrogant Opinion
imfkd^	I am f***ed up
IMGC	I Might Get Caught
IMHEIUO	In My High Exalted Informed Unassailable Opinion
IMHIF	I Move How I Feel
IMHO	In My Humble Opinion
IMI	I Mean It
IMJS	I'M Just Saying
IMML	I Make Myself Laugh
IMNERHO	In My Never Even Remotely Humble Opinion
IMNSHO	In My Not So Humble Opinion
IMO	In My Opinion
IMOO	In My Own Opinion
IMOWHA	I Made Out With Him/Her Anyway
IMPOV	In My Point Of View
IMR	I Mean Really
IMRU	I Am, Are You?
IMS	I Am Sorry
INBD	It's No Big Deal
INMP	It's Not My Problem
INNW	If Not Now When?
INPO	In No Particular Order
INUCOSM	It's No Use Crying Over Spilt Milk
IOH	I'm Outta Here
ION	Index Of Names
IONO	I Don't Know
IOT	In Order To
IOTTCO	Intuitively Obvious To The Casual Observer
IOU	I Owe You
IOUD	Inside, Outside, Upside Down
IOW	In Other Words
IPN	I'm Posting Naked
IRL	In Real Life
IRNCOT	I'd Rather Not Comment On That
ISAGN	I See A Great Need
ISH	Insert Sarcasm Here
ISO	In Search Of
ISS	I Said So -or- I'm So Sure
ISSOYS	I'm So Sick Of Your Stuff -or- S*** -or- Stories
ISSYGTI	I'm So Sure You Get The Idea
ISTM	It Seems To Me
ISTR	I Seem To Remember
ISWC	If Stupid Were a Crime
ISWYM	I See What You Mean
ISYALS	I'll Send You A Letter Soon
ITA	I Totally Agree
ITFA	In The Final Analysis
ITIGBS	I Think I'm Going To Be Sick
ITM	In The Money
ITMA	It's That Man Again
ITS	Intense Text Sex
ITS A D8	It's A Date
ITSFWI	If The Shoe Fits Wear It
IUM	If You Must
IURI	If You Are Interested
IWALU	I Will Always Love You
IWBAPTAKYAIYSTA	I Will Buy A Plane Ticket And Kick Your Ass If You Say That Again
IWBNI	It Would Be Nice If
IWFU	I Wanna F*** You
IWIWU	I Wish I Was You
IWSN	I Want Sex Now
IYAM	If You Ask Me
IYAOYAS	If You Ain't Ordinance You Ain't Sh**
IYCSSNASDSAAA	If You Can’t Say Something Nice About Someone Don’t Say Anything At All
IYD	In Your Dreams
IYDMMA	If You Don't Mind My Asking
IYFD	In Your F***ing Dreams
IYFEG	Insert Your Favorite Ethnic Group
IYKWIM	If You Know What I Mean
IYKWIMAITYD	If You Know What I Mean And I Think You Do
IYNAEGBTM	If You Need Anything Else Get Back To Me
IYO	In Your Opinion
IYQ	I Like You
IYSS	If You Say So
IYSWIM	If You See What I Mean
J/C	Just Checking
J/J	Just Joking
J/K	Just Kidding
J/O	Jerking Off
J/P	Just Playing
J/W	Just Wondering
J2LYK	Just To Let You Know
J4F	Just For Fun
J4G	Just For Grins
J4T or JFT	Just For Today
J5M	Just Five Minutes
JAD	Just Another Day
JAFO	Just Another F***ing Onlooker
JAFS	Just A F***ing Salesman
JAM	Just A Minute
JAS	Just A Second
JC	Just Curious -or- Just Chilling -or- Jesus Christ
JDI	Just Do It
JDMJ	Just Doing My Job
Jealz	Jealous
JEOMK	Just Ejaculated On My Keyboard
JFH	Just F*** Her
JFI	Just For Information
JGMB	Just Google Me B*tch
JHO	Just Helping Out
JHOM	Just Helping out My (Mafia, Mob, Neighbors, etc.)
JHOMF	Just Helping Out My Friend(s)
JIC	Just In Case
JK	Just Kidding
JM2C	Just My 2 Cents
JMO	Just My Opinion
JOML	Jesus On the Main Line
JOOTT	Just One Of Those Things
JOY	Jesus first, Others second, Yourself last
JP	Just Playing
JSU	Just Shut Up
JSYK	Just So You Know
JT	Just Teasing
JTLYK	Just To Let You Know
JTOL	Just Thinking Out Loud
JTOU	Just Thinking Of You
JUADLAM	Jumping Up And Down Like A Monkey
JW	Just Wondering
K	OK
KAB	Kick Ass Bitch
KB	Kick Butt
KBD	Keyboard
KC	Keep Cool
KCCO	Keep Calm & Carry On
kewl	it means cool
KFY -or- K4Y	Kiss For You
KHYF	Know How You Feel
KIA	Killed In Action
KIBO	Knowledge In, Bullsh** Out
KIPPERS	Kids In Parents' Pockets Eroding Retirement Savings
KIR	Keep It Real
KISS	Keep It Simple Stupid
KIT	Keep In Touch
kitty	it means pussy
KITY	Keep It To Yourself
KK	Kiss Kiss -or- OK
KKK	it means "over" as in, waiting for your reply
KMA	Kiss My Ass
KMBA	Kiss My Black Ass
KMFHA	Kiss My Fat Hairy Ass
KMIM	Keep Me In Mind
KMP	Keep Me Posted
KMRIA	Kiss My Royal Irish Arse
KMSLA	Kiss My Shiny Little Ass
KMUF	Kiss Me You Fool
KMWA	Kiss My White Ass
KO	Knocked Out
KOK	Knock
KOTC	Kiss On The Cheek
KOTL	Kiss On The Lips
KPC	Keeping Parents Clueless
KS	Kill Stealer
kudt	Dutch for f***ed up life
KUTGW	Keep Up The Good Work
KWIM	Know What I Mean?
KWSTA	Kiss With Serious Tongue Action
KYBC	Keep Your Bum Clean
KYFC	Keep Your Fingers Crossed
KYNC	Keep Your Nose Clean
KYPO	Keep Your Pants On
KYSOTI	Keep Your Stick On The Ice
L	Laugh
L&R	Love and Respect
L/M	Left Message
L8R	Later
L?^	Let's hook up
L@U	Laughing At You -or- Laughing About You
LABATYD	Life's A Bitch And Then You Die
LAFW	Listening (but) Away From Window
LAGNAF	Lets All Get Naked And F***
LAOJ	Laughing At Own Joke
LAQ	Lame Ass Quote
LB?W/C	Like Bondage? Whips or Chains
LBH	Let's Be Honest
LBR and LGR	Little Boy's Room and Little Girl's Room
LBS	Laughing But Serious
LBUG or LBIG	Laughing Because You're Gay -or- Laughing Because I'm Gay
LD	Long Distance -or- Later Dude
LDIMEDILLIGAF	Look Deeply Into My Eyes, Does It Look Like I Give A F***
LDR	Long Distance Relationship
LDTTWA	Let's Do The Time Warp Again
LF	Let's F***
LFTI	Looking Forward To It
LFU	Life"s F***ed Up
LG	Life's Good -or- Long Gone
LGBT	Lesbian, Gay, Bisexual, Transgender
LGMAS	Lord Give Me A Sign
LH	Laughing Hysterically
LH6	Let’s Have Sex
LHK	Love Hugs Kisses
LHM	Lord Have Mercy
LHO	Laughing Head Off
LHOS	Lets Have Online Sex
LHSO	Let's Have Sex Online
LHU	Let's Hook Up
LIB	Lying In Bed
LIFO	Last In, First Out
LIG	Let It Go
LIR	Let It Rest
LIS	Laughing In Silence
LJBF	Let's Just Be Friends
LKITR	Little Kid In The Room
LL	Livin' Large
LLAP	Live Long and Prosper
LLOM	Like Leno on Meth
LLT	Looks Like Trouble
LLTA	Lots and Lots of Thunderous Applause
LM46	Let's Meet For Sex
LM4a~##zzzz>	Let's Meet For A Joint
LMAO	Laughing My Ass Off
LMBAO	Laughing My Black Ass Off
LMBPO	Laughing My Booty Pop Off
LMFAO	Laughing My F***ing Ass Off
LMHO	Laughing My Head Off
LMIRL	Let's Meet In Real Life
LMK	Let Me Know
LMKHTWOFY	Let Me Know How That Works Out For You
LMOA	Left a Message On your Answering machine
LMP	Lick My Pussy
LMS	Like My Status -or- Learning Management System
LMSO	Laughing My Socks Off
LMTA	Like Minds Think Alike
LMTC	Left a Message To Contact
LMTCB	Left Message To Call Back
lo	it means hello
LOB	Lying On Bed
LOK	Lots Of Kisses
LOL	Laughing Out Loud -or- Lots Of Love -or- Living On Lipitor
LOL WUSS	Laugh Out Loud With Unintentional Snort Sound
LOLA	Laugh Out Loud Again
LOLPMP	Laugh Out Loud Peed My Pants
LOLROTF&ICGU	Laughing Out Loud Rolling On The Floor & I Can't Get Up
LOLZ	Lots Of Laughs
LOMBARD	Lots Of Money But A Right Dick
LOML	Love Of My Life
LONH	Lights On, Nobody Home
LOOL	Laughing Outrageously Out Loud
LOOMM	Laughing Out Of My Mind
LOPSOD	Long On Promises, Short On Delivery
LORE	Learn Once, Repeat Everywhere
LOU	Laughing Over You
LOVE	Lots Of Voluntary Effort
LPC	Lead Pipe Cinch
LPOS	Lazy Piece Of Sh**
LRF	Little Rubber Feet
LSB	Life Sucks Balls
LSHITIPAL	Laughing So Hard I Think I Peed A Little
LSHMBH	Laughing So Hard My Belly Hurts
LSV	Language, Sex, Violence
LTF	Lick The Floor
LTHTT	Laughing Too Hard To Type
LTIC	Laughing 'Til I Cry
LTIO	Laughing Til I Orgasm
LTM	Laughing To Myself
LTNS	Long Time No See
LTNT	Long Time, No Type
LTR	Long Term Relationship
LTS	Laughing to Self
LTTIC	Look The Teacher Is Coming
LuK	it means good luck
LULU	Locally Undesireable Land Use
lulz	laughs or LulzSec
LUMTP	Love You More Than Pie
LUMU	Love You Miss You
LUMUMI	Love You Miss You Mean It
luser	loser
LUSM	Love You So Much
luv	it means love
LWR	Launch When Ready
LWU	Laughing With You
LWYS	Look What You Started
LY	Love You
LY4E	Love You Forever
LYA	Love You All
LYB	Love You Babe
LYCYLBB	Love You, See You Later, Bye Bye
LYKYAMY	Love You, Kiss You, Already Miss You
LYL	Love You Lots
LYLAB	Love You Like a Brother
LYLAS	Love You Like A Sister
LYLB	Love You Later Bye
LYMI	Love You, Mean It
LYSOUAQ	Learn Your Sh** Or Up And Quit
LYSYB	Love Ya, See Ya, Bye
LYWAMH	Love You With All My Heart
M	Mom
M2NY	Me Too, Not Yet
M4C	Meet for Coffee
M4M	Men for Men -or- Male for Male
m4w	men for women
M8 or M8s	Mate -or- Mates
MA	Mature Audience
MAMIL	Middle Aged Men In Lycra
MAYA	Most Advanced Yet Accessible
MB	Message Board
MBN	Must Be Nice
MBRFN	Must Be Real F***ing Nice
MCM	Man Crush Monday
MD	Doctor of Medicine -or- Managing Director
MDR	Mort De Rire
MEGO	My Eyes Glaze Over
meh	Who cares, whatever
MEJR	My Eyes Just Rolled
MERP	Modestly Enlightened Rich People
MF	My Friend
MFD	Multi-Function Device
MfG	Mit freundlichen Gruessen
MFIC	Mother F***er In Charge
MFRC	My Fingers Are Crossed
MFWIC	Mother F***er Who's In Charge
MHBFY	My Heart Bleeds For You
mhhm	uh huh -or- yeah
MHOTY	My Hat's Off To You
MHYF	Move How You Feel
MIA	Missing In Action
MIH	Make It Happen
MIHAP	May I Have Your Attention Please
MIL	Mother-In-Law
MILF	Mother I'd Like to F***
MINS	Minutes
MIRL	Meet In Real Life
MITIN	More Info Than I Needed
MKOP	My Kind Of Place
MLA	Multiple Letter Acronym
MLAS	My Lips Are Sealed
mlm	giving the digital middle finger
MM	Market Maker -or- Merry Meet
MMHA2U	My Most Humble Apologies To You
mmk	mmm ok
MML	Made Me Laugh
MMYT	Mail Me Your Thoughts
MO	Move On
mob	it means mobile
MOF	Matter Of Fact
MOFO	Mother F***er
MOMPL	MOMent PLease
MOO	Mud Object-Oriented -or- Matter Of Opinion -or- My Opinion Only
MOOC	Massive Open Online Course
MOOS	Member Of The Opposite Sex
MOP	MOment Please
MorF	Male or Female
MOS	Mom Over Shoulder
MOSS	Member(s) Of The Same Sex
MOTAS	Member Of The Appropriate Sex
MOTD	Message Of The Day
MOTOS	Member(s) Of The Opposite Sex
MOTSS	Member(s) Of The Same Sex
MPFB	My Personal F*** Buddy
MRA	Moving Right Along
MRM	Men's Rights Movement
MRPH	Mail the Right Place for Help
MSG	Message
MSMD	Monkey See Monkey Do
MSNUW	Mini-Skirt No UnderWear
MSTA	Must See To Appreciate
MSTM	Makes Sense To Me
MT	empty -or- Modified Tweet
MTBF	Mean Time Before Failure
MTF	More To Follow
MTFBWY	May The Force Be With You
MTLA	My True Love Always
MTMMFBWY	May the Micky Mouse Force Be With You
MTSBWY	May The Schwartz Be With You
MTSITN	More Than Ships In The Night
MUAH or MWAH	The sound of a kiss
MUBAR	Messed up Beyond All Recognition
MUSL	Missing You Sh** Loads
MUSM	Miss You So Much
MVA	Motor Vehicle Accident
MVA no PI	Motor Vehicle Accident with no Personal Injury
MVA w/PI	Motor Vehicle Accident with Personal Injury
mvto	it means thank you
MWBRL	More Will Be Revealed Later
MWS	My Wife Says
MYL	Mind Your Language
MYOB	Mind Your Own Business
MYT	Meet You There
N	No -or- And
N pic	Nice picture
N-A-Y-L	In A While
N/A	Not Applicable -or- Not Affiliated
N/M	Nothing Much
N/T	No Text
N1	Nice One
N2M	Not To Mention -or- Not Too Much
N2MJCHBU	Not Too Much Just Chillin, How Bout You?
NA	Nice Ass
NAB	Not A Blonde
NADT	Not A Damn Thing
NAGB	Nearly Almost A Good Bridge
NAGI	Not A Good Idea
NAK	Nursing At Keyboard
NALOPKT	Not A Lot Of People Know That
NAMAILU	Not As Much As I Love You
NASCAR	Non-Athletic Sport Centered Around Rednecks
NATC	Not A Text Conversation
natch	Naturally
NATO	No Action, Talk Only
NAVY	Never Again Volunteer Yourself
NAZ	Name, Address, Zip (also means Nasdaq)
NB	Nota Bene
NB4T	Not Before Time
NBD	No Big Deal
NBFAB	Not Bad For A Beginner
NBFABS	Not Bad For A Bot Stopper
NBG	No Bloody Good
NBIF	No Basis In Fact
NBLFY	Nothing But Love For You
NBS	No Bull Sh**
NC	Nice Crib
NCG	New College Graduate
ND	No Date
NDN	Indian
ne	Any
ne-wayz	anyways
ne1	Anyone
ne14kfc	anyone for KFC?
ne1er	anyone here?
Ne2H	Need To Have
NEET	Not currently Engaged in Employment, Education, or Training
NESEC	Any Second
NEV	Neighborhood Electric Vehicle
NEWS	North, East, West, South
NFBSK	Not For British School Kids
NFC	Not Favorably Considered -or- No F***ing Chance
NFE	No F***ing Excuses
NFF	No F***ing Fair
NFG	Not F***ing Good
NFI	No F***ing Idea
NFS	Need For Sex -or- Network File System
NFW	No F***ing Way -or- No Feasible Way
NG	New Game
NGB	Nearly Good Bridge
NGH	Not Gonna Happen
NH	Nice Hand
NHOH	Never Heard Of Him/Her
NI	Not Interested
NI4NI	An Eye For Any Eye
NICE	Nonsense In Crappy Existence
NIDL	Not Interested, DisLike
NIFOC	Nude In Front Of The Computer
NIGYYSOB	Now I've Got You, You Son Of a B*tch
NIH	Not Invented Here
NIM	No Internal Message
NIMBY	Not In My Back Yard
NIMJD	Not In My Job Description
NIMQ	Not In My Queue
NIMY	Never In A Million Years
NINO	Nothing In, Nothing Out -or- No Input, No Output
NISM	Need I Say More
NITL	Not In This Lifetime
NIYWFD	Not In Your Wildest F***ing Dreams
NJAPF	Not Just Another Pretty Face
NLL	Nice Little Lady
NLTBRO	Not Likely To Be Run Over
NM	Never Mind -or- Nothing Much -or Not Much -or- Nice Move
nm, u	not much, you?
NME	Enemy
NMH	Not Much Here
NMHJC	Not Much Here, Just Chilling
NMP	Not My Problem
NMTE	Now More Than Ever
NMU	Not Much, You?
NN	Not Now -or- Need
NNCIMINTFZ	Not Now Chief, I'm In The F ***in' Zone
NNR	Need Not Respond
nnsh	night night sweet heart
NNWW	Nudge, Nudge, Wink, Wink
NO	Not Online
no praw	no problem
no1	it means no one
NOA	Not Online Anymore
NOFI	No OFfence Intended
noob	also seen as: n00b -or- nub -or- no0blet
NOS	New Old Stock -or- Not Outside Sales
NOY	Not Online Yet
NOYB	None Of Your Business
NP	No Problem -or- Nosy Parents
NQA	No Questions Asked
NQOCD	Not Quite Our Class Dear
NR	Nice Roll
NRG	Energy
NRN	No Reply Necessary
NS	Nice Set -or- No Show
NSA	No Strings Attached
NSB	Not Sure But
NSFW	Not Safe For Work
NSS	No Sh** Sherlock
NSTLC	Need Some Tender Loving Care
NTA	Not This Again
NTABOM	Now That's A Bunch Of Malarkey
NTB	Not Too Bright
NTBN	No Text Back Needed
nth	nothing
NTIM	Not That It Matters
NTIMM	Not That It Matters Much
NTK	Nice To Know
NTL	nonetheless
NTM	Not That Much
NTMU	Nice To Meet You
NTTAWWT	Not That There's Anything Wrong With That
NTW	Not To Worry
NTYMI	Now That You Mention It
NUB	New person to a site or game
NUFF	Enough
NVM	NeVer Mind
NVNG	Nothing Ventured, Nothing Gained
NW	No Way
NWAL	Nerd Without A Life
NWOT	New WithOut Tags
NWR	Not Work Related
NWT	New With Tags
NYC	Not Your Concern
NYCFS	New York City Finger Salute
O	Opponent -or- Over -or- Or
OAO	Over And Out
OATUS	On A Totally Unrelated Subject
OAUS	On An Unrelated Subject
OB	Obligatory
OBE	Overcome By Events
OBO	Or Best Offer
OBTW	Oh By The Way
OBX	Old Battle Axe
OC	Original Character -or- Own Character
OCD	Obsessive Compulsive Disorder
ODTAA	One Damn Thing After Another
OF	Old Fart
OFAP	Old Fart At Play
ofc	of course
OG	Original Gangsta
OIC	Oh, I See
OICU812	Oh I See, You Ate One Too
OIRWIS	Oh I Remember What I Said
OK	okay -or- all correct
OL	Old Lady
OLL	OnLine Love
OLN	OnLine Netiquette
OLO	Only Laughed Once
OM	Old Man
OMB	Oh My Buddha
OMDB	Over My Dead Body
OME	Oh My Evolution
OMFG	Oh My F***ing God
OMG	Oh My God
OMIK	Open Mouth, Insert Keyboard
OML	Oh My Lord
OMMA	Oh My Aching Ass
OMW	On My Way -or- Oh My Word
OMWT	On My Way Too
ONID	Oh No I Didn't
ONNA	Oh No, Not Again
ONNTA	Oh No, Not This Again
ONUD	Oh No You Didn't
OO	Over and Out
OOAK	One Of A Kind
OOC	Out Of Character -or- Out Of Control
OOF	Out Of Facility
OOI	Out Of Interest
OOO	Out Of Office -or- Out Of Commission
OOS	Out Of Stock
OOT	Out Of Touch
OOTB	Out Of The Box -or- Out Of The Blue
OOTC	Obligatory On Topic Comment
OSIF	Oh Sh** I Forgot
OSINTOT	Oh Sh** I Never Thought Of That
OST	On Second Thought
OT	Off Topic
OTASOIC	Owing To A Slight Oversight In Construction
OTC	Over The Counter
OTF	On The Floor -or- On The Fone
OTH	Off The Hook
OTL	Out To Lunch
OTOH	On The Other Hand
OTP	On The Phone
OTR	On The Road
OTS	On The Scene -or- On The Spot -or- Off The Shelf
OTT	Over The Top
OTTOMH	Off The Top Of My Head
OTW	Off The Wall -or- Otherwise
OUSU	Oh You Shut Up
ova	it means over
OWTTE	Or Words To That Effect
OZ	Australia
P	Partner
P&C	Private & Confidential
P-ZA	Pizza
P/U	Pick Up
P2C2E	Process Too Complicated Too Explain
P2U4URAQTP	Peace To You For You Are A Cutie Pie
P3r50n	it means person
P911	Parent Alert
PA	Parent Alert
PAL	Parents Are Listening -or- Peace And Love
PANS	Pretty Awesome New Stuff
PAW	Parents Are Watching
PAX	Passengers
PB	Potty Break
PBB	Parent Behind Back
PBEM	Play By EMail
PBIAB	Pay Back Is A Bitch
PBJ	Peanut Butter and Jelly -or- Pretty Boy Jock
PC	Personal Computer -or- Politically Correct
PCM	Please Call Me
PCMCIA	People Can't Memorize Computer Industry Acronyms
PD	Public Domain
PDA	Personal Digital Assistant -or- Public Display of Affection
PDOMA	Pulled Directly Out Of My Ass
PDQ	Pretty Darn Quick
PDS	Please Don't Shout
PEBCAC	Problem Exists Between Chair And Computer
PEBCAK	Problem Exists Between Chair And Keyboard
PEEP	People Engaged and Empowered for Peace
peeps	people
pen15	it stands for penis
PFA	Pulled From Ass -or- Please Find Attached
PFC	Pretty F***ing Cold
PFM	Pure F***ing Magic
phat	Pretty Hot And Tempting
PHB	Pointy Haired Boss
PHS	Pointy Haired Stupidvisor
PIAPS	Pig In A Pant Suit
PIBKAC	Problem Is Between Keyboard And Chair
PICNIC	Problem In Chair, Not In Computer
PIF	Paid In Full
PIMP	Peeing In My Pants
PIMPL	Peeing In My Pants Laughing
PIN	Person In Need -or- Personal Identification Number
PIR	Parent In Room
PITA	Pain In The Ass
PITMEMBOAM	Peace In The Middle East My Brother Of Another Mother
pix	pictures -or- photos
PLO	Peace, Love, Out
PLOKTA	Press Lots Of Keys To Abort
PLOS	Parents Looking Over Shoulder
PLS	Please
PLU	People Like Us
PLUR	Peace, Love, Unity, Respect
PLZ	Please
PM	Personal Message -or- Private Message
PMBI	Pardon My Butting In
PMF	Pardon My French
PMFJI	Pardon Me For Jumping In
PMIGBOM	Put Mind In Gear Before Opening Mouth
PMJI	Pardon My Jumping In
PML	Pissing Myself Laughing
PMP	Peeing My Pants
PMSL	Pissed MySelf Laughing
PNATMBC	Pay No Attention To Man Behind the Curtain
PNATTMBTC	Pay No Attention To The Man Behind The Curtain
PNCAH	Please, No Cursing Allowed Here
PND	Possibly Not Definitely -or- Personal Navigation Device
PO	Piss Off
po-mo	post-modern
POAHF	Put On A Happy Face
POAK	Passed Out At Keyboard
POETS	Piss Off Early Tomorrow's Saturday
POMS	Parent Over My Shoulder
PONA	Person Of No Account
POP	Photo On Profile, Point Of Purchase/Presence, Post Office Protocol
POS	Parent Over Shoulder -or- Piece Of Sh**
POSC	Piece Of Sh** Computer
POSSLQ	Persons of the Opposite Sex Sharing Living Quarters
POTATO	Person Over Thirty Acting Twenty One
POTS	Plain Old Telephone System -or- Pat On The Shoulder
POTUS	President of the United States
POV	Point Of View
PP	Personal Problem
PPL	People -or- Pay-Per-Lead -or- Pay Per Lead
PPPPPPP or 7P	Prior Proper Planning Prevents Piss Poor Performance
pron	porn
PRT	Partial ReTweet -or- Party
PRW	Parents Are Watching
PS	Post Script
PSA	Public Service Announcement
PSO	Product Superior to Operator
PTH	Prime Tanning Hours
PTL	Praise The Lord
PTMM	Please Tell Me More
PTOYED	Please Turn Off Your Electronic Devices
PTP	Pardon The Pun
PTPOP	Pat The Pissed Off Primate
PU	That Stinks
puter	computer
PVP	Player Versus Player
pw	password
PWAS	Prayer Wheels Are Spinning
PWCB	Person Will Call Back
pwms	playing with myself
pwn	own
pwnt	owned
PWOMS	Parent Watching Over My Shoulder
PWP	Plot, What Plot?
PYFB	Pay Your F***ing Bill
Q	Queue -or- Question
Q2C	Quick To Cum
QC	Quality Control
QFT	Quoted For Truth -or- Quit F***ing Talking
qix	it means quick
QL	Quit Laughing
QLS	Reply
QOTD	Quote Of The Day
QQ	Quick Question -or- Cry More
QS	Quit Scrolling
QT	Cutie -or- Quiet
QYB	Quit Your Bitching
r	are
r u da?	Are you there?
r u goin?	Are you going?
r u there?	Are you there?
R&D	Research & Development
R&R	Rest & Relaxation
RAEBNC	Read And Enjoyed, But No Comment
RAF	Random As F***
RAFO	Read And Find Out
RAT	Remotely Activated Trojan -or- Remote Access Tool
RB@Ya	Right Back at Ya
RBAY	Right Back At You
RBTL	Read Between The Lines
RBU	Rainbows, Butterflies, Unicorns
RC	Remote Control
RCI	Rectal Cranial Inversion
RDV	Reader's Digest Version
RE	Regards -or- Reply -or- Hello Again
REHI	Hi Again
RESO	Reservation
RFD	Request For Discussion
RFP	Request For Proposal
RFR	Really F***ing Rich
RFS	Really F***ing Soon
rgds	it means regards
RGR	Roger
RHIP	Rank Has Its Privileges
RHK	RoundHouse Kick
RI&W	Read It And Weep
RIMJS	Really I'M Just Saying
RINO	Republican In Name Only
RIYL	Recommended If You Like
RKBA	Right to Keep and Bear Arms
RL	Real Life
RLCO	Real Life Conference
RLF	Real Life Friend
RM	Remake
RMB	Rings My Bell
RMETTH	Rolling My Eyes To The Heavens
RMLB	Read My Lips Baby
RMMA	Reading My Mind Again
RMMM	Read My Mail Man
RN	Right Now
RNN	Reply Not Necessary
RNY	it means rainy
ROFL	Rolling On Floor Laughing
ROFLMAO	Rolling On Floor Laughing My Ass Off
ROFLMAOASTC	Rolling On Floor Laughing My Ass Off And Scaring The Cat
ROFLOL	Rolling On Floor Laughing Out Loud
ROR	Raffing Out Roud (in scooby-doo dialect)
ROTFL	Rolling On The Floor Laughing
ROTFLMAO	Rolling On The Floor Laughing My Ass Off
ROTFLMFAO	Rolling On The Floor Laughing My F***ing Ass Off
ROTFLOL	Rolling On The Floor Laughing Out Loud
ROTGL	Rolling On The Ground Laughing
ROTGLMAO	Rolling On The Ground Laughing My Ass Off
